Year,Season,Rain_0_5km,Rain_5_15km,Rain_15_30km,Rain_30_60km,Rain_60_100km,River_Width_m
2018,Monsoon,440.0931701660156,452.82794189453125,483.8565368652344,510.13580322265625,437.8701171875,100.29407334889676
2019,Monsoon,537.0364379882812,551.5433349609375,577.2606201171875,567.326416015625,520.2274780273438,86.14818449460255
2020,Monsoon,733.8102416992188,758.4361572265625,804.3002319335938,801.1110229492188,776.769775390625,84.67318757192174
2021,Monsoon,612.1009521484375,617.2785034179688,658.8870849609375,645.3746337890625,583.3477172851562,83.72155615365794
2022,Monsoon,691.1390991210938,707.9367065429688,730.4727172851562,664.7074584960938,568.2543334960938,96.92587764642424
2023,Monsoon,413.31500244140625,430.7276916503906,472.89251708984375,476.5194396972656,466.42822265625,103.17521561507036
2024,Monsoon,557.3292236328125,573.27392578125,622.3898315429688,616.1353759765625,550.9839477539062,85.79137672260882
2025,Monsoon,526.3409423828125,537.1553344726562,566.6965942382812,531.6974487304688,427.8404846191406,95.94101123595506
2018,Summer,183.05650329589844,189.90269470214844,204.0968780517578,210.66448974609375,181.489990234375,99.48712399913438
2019,Summer,120.0429458618164,127.06392669677734,136.89834594726562,142.62448120117188,114.03199768066406,100.76528056112224
2020,Summer,211.04605102539062,222.35752868652344,241.25511169433594,249.9189453125,217.62579345703125,99.0199948233467
2021,Summer,164.76309204101562,173.64999389648438,185.61526489257812,187.96900939941406,157.37510681152344,102.98316135975185
2022,Summer,253.4578399658203,268.3343505859375,288.40057373046875,298.7338562011719,275.2529602050781,100.6051050305408
2023,Summer,236.89122009277344,242.29290771484375,258.8768005371094,276.68743896484375,258.0781555175781,106.03844100373732
2024,Summer,222.90170288085938,230.78863525390625,258.9188537597656,290.16436767578125,281.1181945800781,98.21620504340636
2025,Summer,219.44290161132812,240.16079711914062,263.64337158203125,307.50042724609375,306.19183349609375,105.78069395017793
2018,Winter,135.1433868408203,139.59814453125,141.91360473632812,146.24832153320312,130.37680053710938,104.12012100641924
2019,Winter,92.11994934082031,93.81790161132812,90.56195068359375,86.54574584960938,89.39106750488281,105.17739670337792
2020,Winter,198.90724182128906,192.0948486328125,192.05374145507812,220.72341918945312,264.33978271484375,103.80729822038468
2021,Winter,287.017333984375,290.4079895019531,306.5250244140625,371.5857849121094,468.6734619140625,106.18134623326057
2022,Winter,201.236328125,204.61495971679688,223.95957946777344,277.860107421875,342.4796447753906,101.4322233282056
2023,Winter,153.899169921875,157.00547790527344,174.15725708007812,215.30230712890625,272.858154296875,105.66118368005161
2024,Winter,74.15284729003906,71.1714096069336,67.79254150390625,79.25796508789062,100.8117904663086,103.19011576135351
2025,Winter,156.37205505371094,159.57420349121094,154.99835205078125,189.76121520996094,239.0615692138672,105.16603922009327
